province_name,province,adjusted_mean,adjusted_median,adjusted_q1,adjusted_q3,adjusted_income_mean,adjusted_income_median,adjusted_income_q1,adjusted_income_q3,col_index,income_index,col_index_custom,income_index_custom
Davao Oriental,25,8030.11,6860.58,5566.1,8867.45,14575.63,11162.67,8652.38,15484.76,0.061341400565348814,0.0745713556326647,0.08045579296706783,0.5111604016552362
Davao del Norte,23,12689.32,10927.56,8114.05,15064.78,19382.63,15165.86,11170.0,21546.38,0.3935086987096295,0.293875444695591,0.5099362485646027,0.6270035014613538
Davao del Sur,24,10700.45,8519.27,6221.29,12537.9,21335.34,14794.81,10134.35,23663.31,0.19681356314272486,0.27354845990426235,0.2581419912715026,0.6162661689382759
Dinagat Islands,85,8803.31,7143.06,5330.92,9835.7,17196.02,12500.21,9344.0,19029.41,0.08441272581892673,0.14784491778815223,0.11071629812296604,0.5498657290852794
Eastern Samar,26,10541.75,8456.67,6445.0,11961.5,17264.26,12120.7,8617.83,18504.09,0.1917007588349014,0.12705447445664142,0.25143600280237477,0.5388835836444136
Guimaras,79,12458.49,11118.89,8790.96,14559.88,19257.3,15509.62,12151.69,21610.56,0.40913542152457943,0.31270741960966497,0.5225631244802872,0.6369511242295338
Ifugao,27,10502.58,8598.89,6645.6,11950.74,22677.35,16308.18,12254.67,23737.0,0.20331646216810667,0.35645439973353876,0.2666712373084347,0.6600596116561044
Ilocos Norte,28,17426.96,15399.73,12679.88,19419.43,32485.33,27082.08,21235.49,36044.5,0.7587695619894852,0.9466737810656918,0.8050783363911145,0.9718314668518679
Ilocos Sur,29,13464.28,11130.38,8160.82,15533.34,25800.79,19531.08,14292.58,28958.04,0.4100738579702167,0.533012381902985,0.5233214101870306,0.7533229157623637
Iloilo,30,13861.41,10610.17,7620.25,16757.62,27163.83,18883.33,12458.83,30799.7,0.36758612747544267,0.4975271254723608,0.48212843360535795,0.7345785224411842
Isabela,31,11574.13,9881.85,7577.81,13505.55,21410.26,16662.9,12327.48,24796.27,0.3081011812538132,0.3758867890211822,0.4041075786239655,0.6703243915849177
Kalinga,32,14181.84,11657.25,8966.39,16767.72,26190.25,19399.09,14049.0,29343.33,0.4531055385718615,0.5257816617234741,0.5580923405884138,0.7495034291171109
