family_size,province_name,province,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
1.0,Romblon,59,12853.73,9385.42,7093.25,12854.75,20107.68,12267.58,8863.54,17199.17,0.009389450188867547,0.0013098978327130192,0.30757381329026406,0.5009299177249463
1.0,Samar,60,10237.44,8696.99,6738.98,11668.51,15330.97,12046.58,8768.87,16727.12,0.006483376730466214,0.0010339984559871885,0.21237845282476187,0.5007920439998104
1.0,Sarangani,80,11369.24,8145.21,6065.08,11888.5,17458.21,11218.33,7995.75,18901.33,0.004154144691077041,0.0,0.1360789074858679,0.5002753294620554
1.0,Siquijor,61,12964.17,8609.08,6540.1,14007.0,29591.08,16332.0,10341.83,25200.0,0.006112281749526889,0.006383974505798985,0.2002223525116984,0.5034655590186884
1.0,Sorsogon,62,12868.17,11314.08,8491.92,13957.21,18732.1,14150.83,10188.08,19306.25,0.017530913571172667,0.0036609724988619762,0.5011511604304999,0.5021048077378977
1.0,South Cotabato,63,14353.11,12006.17,8598.79,16977.5,23261.59,19667.5,12820.83,25833.33,0.020452437008304958,0.010548057632808064,0.5026345644342697,0.5055464540874257
1.0,Southern Leyte,64,15345.73,12353.5,8976.17,18532.75,24996.64,18760.5,13471.25,28467.83,0.021918623104649586,0.009415746616109747,0.5033790206648601,0.5049806103376596
1.0,Sultan Kudarat,65,11813.35,9582.67,6949.92,13498.67,19568.67,12762.5,9225.75,21299.08,0.01022210273112989,0.001927762626962556,0.33484933128311783,0.5012386800056896
1.0,Sulu,66,14023.59,12023.17,10204.17,15786.08,28977.17,24866.67,20902.25,29440.62,0.020524199204596257,0.01703877149023627,0.5026710017011917,0.5087900239313851
1.0,Surigao del Norte,67,12365.72,9829.28,7890.38,14274.92,22437.1,19201.0,13365.21,24826.25,0.011263118920976867,0.009965672749357389,0.36895029702313137,0.505255421993417
1.0,Surigao del Sur,68,14042.94,11940.1,9584.65,17632.36,19492.82,15369.25,11679.79,24034.04,0.020173535343071633,0.005182064438184539,0.5024929520680614,0.5028649349061336
1.0,Tarlac,69,20090.07,17960.92,12770.93,24184.46,30573.92,25578.33,18200.92,36982.21,0.0455892569121664,0.017927217419832227,0.515397788858041,0.5092340022808431
1.0,Tawi-Tawi,70,11693.34,11488.33,8259.75,14631.75,21332.45,20288.33,15761.67,25636.0,0.01826647608315854,0.011323110166983166,0.501524642416451,0.5059337669597159
1.0,Zambales,71,24030.68,19373.5,14022.5,28507.62,38693.05,27225.83,18927.67,41121.67,0.05155218886729409,0.019983978610582473,0.5184254685350268,0.5102618165892661
1.0,Zamboanga Sibugay,83,8994.86,8598.25,5585.58,11109.88,15350.35,13429.17,7461.62,17104.04,0.006066565009183664,0.002760042434572554,0.1987247917519387,0.501654590758343
1.0,Zamboanga del Norte,72,13622.45,9870.17,7775.67,13268.96,22023.39,14417.33,10986.5,18966.67,0.01143572810958577,0.003993674688443126,0.3746045222739693,0.5022710672299734
1.0,Zamboanga del Sur,73,14224.93,10181.75,6750.62,18377.06,25905.16,16783.83,10299.1,27485.58,0.012751002528435453,0.006948045163654335,0.41768946978328925,0.5037474390423453
1.5,Abra,1,21382.79,17414.5,12076.5,23877.38,31150.89,23953.33,19103.67,39858.17,0.04328265107113732,0.015898545532142296,0.5142266093644204,0.5082202248901377
1.5,Agusan del Norte,2,23383.51,15944.65,12425.72,27144.93,39388.19,22786.0,16349.5,38699.58,0.03707796494062122,0.014441235036968704,0.5110761789652802,0.5074919708830656
1.5,Agusan del Sur,3,15903.82,12032.88,9242.96,15693.33,22436.86,16328.33,12047.62,19878.17,0.02056518808259558,0.006379392828366479,0.5026918138107102,0.5034632694414429
1.5,Aklan,4,19724.22,16020.5,13845.83,22138.17,32832.49,27246.0,21417.33,40739.33,0.037398150975250365,0.020009159110259217,0.5112387534768119,0.510274399906171
1.5,Albay,5,17470.75,15901.08,12568.83,19086.42,29330.68,23668.17,17915.83,31052.5,0.03689404265283227,0.015542547947223118,0.5109827923935276,0.5080423241143017
1.5,Antique,6,14692.71,13681.62,11040.25,17053.08,27062.57,22515.42,17560.94,33550.62,0.027525023583379424,0.014103439320432615,0.5062256714263025,0.5073231660299105
1.5,Apayao,81,15700.36,12480.92,9474.5,18757.46,36113.73,16365.15,10884.79,46075.0,0.022456501872381233,0.006425359412307862,0.5036521286972842,0.5034862400774588
1.5,Aurora,77,21712.76,14726.5,12115.83,19790.9,65494.75,20381.58,16217.88,29551.88,0.03193578144578284,0.011439524722999835,0.5084652344534506,0.5059919421853671
1.5,Basilan,97,14384.59,13087.33,11713.33,15774.08,21474.23,19527.5,17400.0,26408.17,0.025016343840205346,0.010373279747099394,0.5049518888757667,0.5054591132660726
1.5,Bataan,8,26689.91,21158.33,14686.88,31296.12,43615.12,29128.33,23743.75,50972.88,0.05908650185591815,0.022359085236016374,0.5222510171891735,0.5114487159651535
1.5,Batanes,9,25372.83,21408.83,15589.92,29399.62,47316.81,34630.25,25716.04,54144.38,0.060143938924798836,0.02922775627128958,0.5227879310341133,0.514881160335289
1.5,Batangas,10,30911.21,25433.56,18956.62,38643.02,53087.84,50508.0,32813.52,71560.96,0.07713355447065187,0.049049753234224204,0.5314144111105372,0.5247867012369956
1.5,Benguet,11,27456.93,24767.83,18592.92,32364.17,46242.51,40690.0,29460.08,52923.92,0.07432330465082773,0.03679282979216899,0.529987506304183,0.5186616142081057
1.5,Biliran,78,17701.74,13775.25,11515.96,17532.08,33578.3,23202.92,18405.79,28097.08,0.027920264432717938,0.014961723580609125,0.5064263550322974,0.5077520718490551
1.5,Bohol,12,17369.8,14773.25,9628.02,23556.79,28871.34,26889.33,16274.25,36013.54,0.032133127485583925,0.01956388747814699,0.5085654369374863,0.5100518866865138
1.5,Bukidnon,13,12704.61,11606.67,10292.42,14141.46,27427.71,23946.67,18703.75,31981.75,0.018766025395459303,0.015890231098436437,0.5017782886616013,0.5082160699624934
