family_size,region_name,income,col,housing,food,transport
4.5,Region XIII - Caraga,35760.67,24275.17,28500.0,92291.0,9620.0
5.0,Bangsamoro Autonomous Region in Muslim Mindanao,30310.67,20938.17,21170.0,89228.0,6900.0
5.0,Cordillera Administrative Region,47701.67,28939.33,39280.0,104491.0,10000.0
5.0,National Capital Region,71395.33,48324.33,85110.0,144607.0,18800.0
5.0,Region I - Ilocos Region,52917.17,31177.0,40935.0,112148.5,14706.0
5.0,Region II - Cagayan Valley,45245.0,27446.08,40230.0,95427.5,12300.0
5.0,Region III - Central Luzon,54537.5,36897.83,58465.0,124110.0,15165.0
5.0,Region IVA - CALABARZON,53983.33,37698.83,56200.0,124007.05,16224.0
5.0,Region IVB - MIMAROPA,35043.58,23287.04,29419.0,87302.0,9850.0
5.0,Region IX - Zamboanga Peninsula,34190.0,22906.5,25200.0,90129.0,9010.0
5.0,Region V- Bicol,34421.67,22382.25,29036.0,86411.0,9100.0
5.0,Region VI - Western Visayas,41500.42,27981.84,34510.0,104762.0,12830.0
5.0,Region VII - Central Visayas,45933.33,27281.0,40560.0,95049.0,13000.0
5.0,Region VIII - Eastern Visayas,37091.67,23487.5,29590.0,91368.5,8915.0
5.0,Region X - Northern Mindanao,37306.67,23275.83,31590.0,84043.0,10910.0
5.0,Region XI - Davao,35750.83,21459.04,27400.0,81870.25,9390.0
5.0,Region XII - SOCCSKSARGEN,32729.92,22603.75,25512.0,85334.5,10323.0
5.0,Region XIII - Caraga,34400.0,24187.17,27360.0,94449.2,9864.0
5.5,Bangsamoro Autonomous Region in Muslim Mindanao,31104.17,21400.67,20610.0,90648.5,7392.5
5.5,Cordillera Administrative Region,55109.17,30797.5,42000.0,110531.0,10534.0
5.5,National Capital Region,76606.67,50190.42,89157.0,153368.6,19184.0
5.5,Region I - Ilocos Region,58198.42,33149.67,42045.0,119251.5,14450.0
5.5,Region II - Cagayan Valley,47739.0,27589.83,39690.0,101656.17,12000.0
5.5,Region III - Central Luzon,65128.33,42766.75,66674.0,133769.5,16960.0
