family_size,region_name,region,food_mean,food_median,food_q1,food_q3,transportation_mean,transportation_median,transportation_q1,transportation_q3,housing_mean,housing_median,housing_q1,housing_q3,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
2.0,Region I - Ilocos Region,1,68998.0,68998.0,49903.0,90139.5,7970.0,7970.0,2915.0,14340.0,35670.0,35670.0,23036.0,55025.0,25026.43,21873.0,16270.08,28958.5,46265.26,36632.67,26221.58,53002.58,0.07477030168794635,0.05182407911812074,0.5347228893749899,0.5311273515710447
2.0,Region II - Cagayan Valley,2,59034.0,59034.0,45170.5,80120.25,7102.0,7102.0,2940.0,14275.0,36080.0,36080.0,23470.0,53188.5,23070.67,19281.33,14041.83,27474.92,43674.11,31180.0,22187.0,50570.42,0.05864280405775203,0.038549229422956806,0.526612735201731,0.5245629432191866
2.0,Region III - Central Luzon,3,78760.25,78760.25,61038.5,102443.5,10390.0,10390.0,5544.0,17730.0,50895.0,50895.0,34017.5,75585.0,31001.72,27294.73,20475.54,36658.96,49657.57,40434.58,28851.0,57889.17,0.10850875516641909,0.06108005532877365,0.5516891953421009,0.5357044284447623
2.0,Region IVA - CALABARZON,4,73937.75,73937.75,55465.5,101553.62,9217.0,9217.0,3945.0,18735.0,51960.0,51960.0,32666.25,81382.5,32194.95,27187.42,18934.54,38721.75,53713.91,40885.0,27275.67,64339.17,0.10784098428096833,0.062176629630848725,0.5513533884514349,0.5362466840387821
2.0,Region IVB - MIMAROPA,17,56410.0,56410.0,45030.0,75366.0,6178.0,6178.0,2100.0,12540.0,27510.0,27510.0,17066.0,44220.0,22251.38,16929.17,12656.5,24071.83,44549.83,26028.33,18508.33,40173.33,0.04400573420478543,0.026007182145368922,0.5192520834828885,0.5183609053966122
2.0,Region IX - Zamboanga Peninsula,9,59690.25,59690.25,43451.0,80389.0,5220.0,5220.0,2180.0,11400.0,23430.0,23430.0,13740.0,37790.0,20030.49,15728.92,11376.5,24037.17,34214.21,25105.67,16877.5,38000.0,0.03653679370285397,0.023760911452343304,0.5154961220578407,0.5172501253549214
2.0,Region V- Bicol,5,57201.75,57201.75,43533.5,76248.5,3880.0,3880.0,1640.0,9922.5,27215.0,27215.0,16946.0,45444.0,20637.17,16598.38,12125.4,23153.44,33860.96,24742.44,17743.58,35693.96,0.0419472873573504,0.022876606395412592,0.5182169370718979,0.5168128368255138
2.0,Region VI - Western Visayas,6,66696.5,66696.5,52222.12,88221.0,6660.0,6660.0,2900.0,14065.5,31050.0,31050.0,19402.5,52230.0,24883.52,19923.94,14760.67,28858.88,42564.93,29587.0,21268.75,46327.5,0.06264165084462656,0.03467097609671551,0.5286236649008355,0.5226451483582267
2.0,Region VII - Central Visayas,7,58424.0,58424.0,42418.36,82543.25,7361.0,7361.0,3230.0,15485.0,36798.5,36798.5,20700.0,59957.5,24596.37,20137.08,13267.94,29698.79,44927.18,34576.67,21265.58,54146.5,0.0639679828409454,0.04681862473095683,0.5292906472946156,0.5286521561949409
2.0,Region VIII - Eastern Visayas,8,59006.67,59006.67,46566.0,78410.0,4200.0,4200.0,1560.0,10480.0,26100.0,26100.0,16608.0,47958.0,22305.81,16808.58,12494.83,24715.0,38138.81,25847.5,18622.0,41230.83,0.04325532426091716,0.025566940746132118,0.5188747192768927,0.5181432061846175
