family_size,province_name,income,col,housing,food,transport
2.5,Metropolitan Manila,59393.33,37714.67,76644.0,100012.12,13964.0
2.5,Misamis Occidental,30736.67,22431.67,28750.0,71785.0,11780.0
2.5,Misamis Oriental,35290.0,21086.67,38300.0,63714.8,8840.0
2.5,Mountain Province,39668.33,21566.25,25636.0,79630.5,5930.0
2.5,Negros Occidental,36766.08,23646.5,33170.0,81455.0,8479.0
2.5,North Cotabato,33096.5,21147.33,27600.0,73032.0,8408.0
2.5,Northern Samar,30299.5,16538.0,28900.0,63439.75,4230.0
2.5,Nueva Ecija,40602.08,26855.58,45120.0,87838.25,9365.0
2.5,Nueva Vizcaya,36099.67,24011.17,33900.0,72799.0,12400.0
2.5,Occidental Mindoro,27298.17,18509.67,24900.0,65581.0,5870.0
2.5,Oriental Mindoro,33542.08,21194.83,39478.0,60803.0,9869.0
2.5,Palawan,32810.0,20708.12,35790.0,62379.5,8476.0
2.5,Pampanga,56468.33,36826.67,78900.0,105923.3,13912.0
2.5,Pangasinan,27860.67,17221.83,26250.0,57598.0,6800.0
2.5,Quezon,35100.0,24664.0,46120.0,80586.0,7100.0
2.5,Quirino,33366.67,18615.83,29550.0,64558.25,9100.0
2.5,Rizal,51750.0,39459.75,65580.0,110293.0,16850.0
2.5,Romblon,25850.0,17891.08,25845.0,70051.0,5796.0
2.5,Samar,21076.83,15524.17,20552.5,64455.5,2430.0
2.5,Sarangani,21472.92,15112.46,17676.0,59005.5,5786.0
2.5,Siquijor,27158.33,16571.33,31750.0,59727.0,5950.0
2.5,Sorsogon,23848.83,18853.33,27540.0,70415.0,5780.0
2.5,South Cotabato,33399.58,20824.17,32275.0,71661.5,11840.0
2.5,Southern Leyte,38830.25,22557.33,32910.0,75834.5,5680.0
2.5,Sultan Kudarat,21878.33,15734.25,18650.0,62746.0,8120.0
2.5,Sulu,30383.33,16463.67,12370.0,77350.0,2850.0
2.5,Surigao del Norte,30485.67,17734.83,27100.0,64405.62,5964.0
2.5,Surigao del Sur,33110.92,21503.92,30090.0,80884.5,8090.0
2.5,Tarlac,43712.33,33688.64,54830.0,106505.0,13000.0
2.5,Tawi-Tawi,25383.33,14875.5,38700.0,42847.0,6370.0
2.5,Zambales,40711.17,31313.33,62500.0,86410.0,12300.0
2.5,Zamboanga Sibugay,22738.08,15137.79,21470.0,58231.0,6440.0
2.5,Zamboanga del Norte,21972.5,16091.17,17900.0,69913.0,5900.0
2.5,Zamboanga del Sur,28565.08,18376.5,27340.0,60319.0,6660.0
3.0,Abra,33289.17,23218.0,32200.0,82910.0,7660.0
3.0,Agusan del Norte,31820.5,22406.08,28840.0,79965.0,11015.0
3.0,Agusan del Sur,25232.67,19182.58,19376.0,80088.0,7315.0
3.0,Aklan,36790.83,24112.33,32470.0,81489.0,11000.0
3.0,Albay,32355.0,21919.17,39500.0,71562.0,9000.0
3.0,Antique,33579.17,20106.5,27300.0,72902.0,7220.0
3.0,Apayao,33233.75,21865.5,29920.0,84085.5,7820.0
3.0,Aurora,33556.33,23006.42,30940.0,82858.38,10400.0
3.0,Basilan,27238.33,17330.67,20220.0,71345.0,6400.0
3.0,Bataan,47960.0,30759.0,53166.0,95607.5,16580.0
3.0,Batanes,55451.67,33453.67,63750.0,91367.0,15380.0
3.0,Batangas,51942.75,31483.71,58530.0,84525.0,13919.0
3.0,Benguet,53858.33,32656.83,66385.0,84887.25,10396.0
3.0,Biliran,30977.17,20417.0,28660.0,76504.0,8006.0
3.0,Bohol,34187.58,19487.0,30530.0,63650.0,8790.0
3.0,Bukidnon,30308.5,14459.33,20700.0,52612.0,7120.0
3.0,Bulacan,46098.0,31852.58,49965.0,99289.25,15627.0
3.0,Cagayan,36995.83,23399.18,38640.0,76933.0,9800.0
3.0,Camarines Norte,35400.0,20812.77,32860.0,71601.75,8500.0
3.0,Camarines Sur,30742.92,17815.12,28350.0,61722.75,7795.0
3.0,Camiguin,35100.0,22495.33,35130.0,71904.0,10630.0
3.0,Capiz,32290.0,23309.42,30334.0,89210.0,9879.0
3.0,Catanduanes,31688.42,23481.4,33970.0,83717.0,7830.0
3.0,Cavite,58256.67,37281.5,68850.0,98218.0,16180.0
3.0,Cebu,46733.33,28043.33,47265.0,85125.0,12714.0
3.0,Compostela Valley,31138.83,16952.75,23110.0,61327.0,9100.0
3.0,Davao Oriental,24771.17,15550.96,20740.0,58179.62,6918.0
3.0,Davao del Norte,33280.0,24148.54,33540.0,88537.0,10323.0
3.0,Davao del Sur,32911.67,19399.17,29748.0,64560.6,8620.0
3.0,Dinagat Islands,27149.83,16358.79,23879.0,60325.0,6640.0
3.0,Eastern Samar,29136.83,20301.83,27020.0,77553.0,7500.0
3.0,Guimaras,35887.5,25575.83,28089.0,91773.5,13688.0
3.0,Ifugao,37088.33,19673.58,27830.0,66757.75,9410.0
3.0,Ilocos Norte,59690.42,32742.17,41005.0,116846.0,16117.5
3.0,Ilocos Sur,41259.58,25784.58,45735.0,75234.5,11330.0
3.0,Iloilo,44297.08,25845.62,41107.5,79022.0,12465.0
3.0,Isabela,37339.67,21777.67,38265.0,72813.25,8699.0
3.0,Kalinga,43553.75,26883.5,39211.0,96390.0,9763.0
3.0,La Union,47453.58,26946.83,38902.5,91137.0,10150.0
3.0,Laguna,53894.67,37709.17,63914.0,111624.0,17320.0
3.0,Lanao del Norte,31850.0,20320.0,30900.0,69404.0,9020.0
3.0,Lanao del Sur,29229.63,21223.98,21350.0,96217.36,5450.0
3.0,Leyte,35320.0,25474.92,39490.0,79683.0,10540.0
3.0,Maguindanao,22950.0,18762.83,20400.0,78156.0,7462.0
3.0,Marinduque,32908.67,23678.83,29511.0,89428.0,7760.0
3.0,Masbate,29880.29,18503.25,17202.0,73237.5,6420.0
3.0,Metropolitan Manila,61448.75,40692.17,81050.0,111544.5,15180.0
3.0,Misamis Occidental,31030.83,22146.0,26430.0,81682.5,9400.0
3.0,Misamis Oriental,37326.83,22613.0,39544.0,71408.75,10990.0
3.0,Mountain Province,36237.5,20432.33,24750.0,79805.0,4980.0
3.0,Negros Occidental,36817.08,26148.92,37125.0,89986.0,11540.0
3.0,Negros Oriental,27225.0,15805.67,23600.0,54030.0,7800.0
3.0,North Cotabato,32269.33,21123.67,25020.0,73525.0,8915.0
3.0,Northern Samar,30142.17,16233.33,24060.0,62213.5,3690.0
3.0,Nueva Ecija,42074.08,27117.5,42900.0,89976.0,10288.5
3.0,Nueva Vizcaya,37670.5,24864.67,35355.0,83932.5,14267.5
3.0,Occidental Mindoro,30485.83,18784.83,27160.0,70671.0,7798.0
3.0,Oriental Mindoro,34738.33,20971.42,36082.5,63735.25,11252.5
3.0,Palawan,34132.33,21055.33,34590.0,69226.0,9620.0
3.0,Pampanga,61650.0,40241.0,79200.0,118573.99,15920.0
3.0,Pangasinan,38038.33,23771.17,40282.0,77195.0,9230.0
3.0,Quezon,32683.0,24488.5,38250.0,86460.0,8320.0
3.0,Quirino,36798.33,19511.33,29010.0,68892.0,8900.0
3.0,Rizal,55350.0,38877.5,57960.0,118413.0,21600.0
3.0,Romblon,25816.67,19003.5,24000.0,73027.0,7080.0
3.0,Samar,24661.17,16764.33,20200.0,67372.0,4710.0
